seed,mode,sec_idx,sec_mean,sec_var,equil_price,total_demand,supply,excess,tat_iters,converged,max_rel_excess
8,correlated,17,3.4192936238456935,3.4192936238456935,1,0,20,-20,500,false,61.0
8,correlated,19,8.250268210216575,8.250268210216575,3,20,20,0,500,false,61.0
8,independent,9,9.825631577978275,9.825631577978275,4,100,20,80,500,false,80.0
8,independent,18,1.9360024604852664,1.9360024604852664,1,0,20,-20,500,false,80.0
8,independent,13,7.173959213963667,7.173959213963667,1,0,20,-20,500,false,80.0
8,independent,5,6.082169064445433,6.082169064445433,1,0,20,-20,500,false,80.0
8,independent,20,5.444273951584587,5.444273951584587,1,0,20,-20,500,false,80.0
8,independent,1,9.501171827905713,9.501171827905713,3,60,20,40,500,false,80.0
8,independent,4,3.08972461651652,3.08972461651652,1,0,20,-20,500,false,80.0
8,independent,3,9.870628429428152,9.870628429428152,5,0,20,-20,500,false,80.0
8,independent,7,3.0922549917616475,3.0922549917616475,1,0,20,-20,500,false,80.0
8,independent,8,2.5505062416175557,2.5505062416175557,1,0,20,-20,500,false,80.0
8,independent,16,3.9181344029512504,3.9181344029512504,1,0,20,-20,500,false,80.0
8,independent,11,8.793223105204605,8.793223105204605,2,0,20,-20,500,false,80.0
8,independent,14,8.034567974426318,8.034567974426318,1,0,20,-20,500,false,80.0
8,independent,6,5.738123425667583,5.738123425667583,1,0,20,-20,500,false,80.0
8,independent,12,8.557766151652652,8.557766151652652,1,1620,20,1600,500,false,80.0
8,independent,10,7.66403221384154,7.66403221384154,1,0,20,-20,500,false,80.0
8,independent,15,6.73993074653036,6.73993074653036,1,0,20,-20,500,false,80.0
8,independent,2,3.551247827175343,3.551247827175343,1,0,20,-20,500,false,80.0
8,independent,17,3.4192936238456935,3.4192936238456935,1,0,20,-20,500,false,80.0
8,independent,19,8.250268210216575,8.250268210216575,1,0,20,-20,500,false,80.0
9,correlated,14,8.152639008892569,8.152639008892569,5,0,20,-20,500,false,43.0
9,correlated,3,9.1447179198142,9.1447179198142,7,20,20,0,500,false,43.0
9,correlated,8,1.667661954264232,1.667661954264232,1,0,20,-20,500,false,43.0
9,correlated,9,5.010441781534349,5.010441781534349,1,880,20,860,500,false,43.0
9,correlated,2,7.547251756550276,7.547251756550276,3,100,20,80,500,false,43.0
9,correlated,15,9.889104231409837,9.889104231409837,10,20,20,0,500,false,43.0
9,correlated,18,6.578580623367486,6.578580623367486,2,180,20,160,500,false,43.0
9,correlated,16,9.188542035225984,9.188542035225984,8,20,20,0,500,false,43.0
9,correlated,11,9.807146669941492,9.807146669941492,10,20,20,0,500,false,43.0
9,correlated,13,3.4127861311545056,3.4127861311545056,1,0,20,-20,500,false,43.0
9,correlated,17,2.8719457408177993,2.8719457408177993,1,0,20,-20,500,false,43.0
9,correlated,7,3.080085392720979,3.080085392720979,1,0,20,-20,500,false,43.0
9,correlated,10,1.765996059027385,1.765996059027385,1,0,20,-20,500,false,43.0
9,correlated,6,3.6501548597870634,3.6501548597870634,1,0,20,-20,500,false,43.0
9,correlated,12,4.747943197350891,4.747943197350891,2,0,20,-20,500,false,43.0
9,correlated,20,8.441504334580348,8.441504334580348,5,40,20,20,500,false,43.0
9,correlated,5,1.25350146818944,1.25350146818944,1,0,20,-20,500,false,43.0
