seed,mode,sec_idx,sec_mean,sec_var,equil_price,total_demand,supply,excess,tat_iters,converged
180,correlated,8,4.1107233635813,4.1107233635813,18,0,20,-20,500,false
180,independent,1,2.402107594045802,2.402107594045802,9,0,20,-20,500,false
180,independent,6,1.2989328031679177,1.2989328031679177,5,0,20,-20,500,false
180,independent,20,6.278851355456857,6.278851355456857,32,0,20,-20,500,false
180,independent,12,7.292520845687519,7.292520845687519,45,0,20,-20,500,false
180,independent,18,2.093844735725891,2.093844735725891,10,0,20,-20,500,false
180,independent,14,7.382549444672457,7.382549444672457,47,20,20,0,500,false
180,independent,9,7.021555086738088,7.021555086738088,38,80,20,60,500,false
180,independent,2,5.419465951308872,5.419465951308872,26,0,20,-20,500,false
180,independent,4,8.12188391193478,8.12188391193478,77,20,20,0,500,false
180,independent,16,6.76503132203483,6.76503132203483,39,0,20,-20,500,false
180,independent,11,1.9970872112102453,1.9970872112102453,7,100,20,80,500,false
180,independent,13,8.932050547846423,8.932050547846423,163,20,20,0,500,false
180,independent,3,6.4760273392381205,6.4760273392381205,33,0,20,-20,500,false
180,independent,7,4.400503456706547,4.400503456706547,17,20,20,0,500,false
180,independent,17,4.412286617874729,4.412286617874729,18,0,20,-20,500,false
180,independent,5,5.594621341630398,5.594621341630398,28,0,20,-20,500,false
180,independent,15,6.443301374868307,6.443301374868307,32,20,20,0,500,false
180,independent,19,4.837411731848473,4.837411731848473,19,120,20,100,500,false
180,independent,10,2.1438928418644685,2.1438928418644685,9,0,20,-20,500,false
180,independent,8,4.1107233635813,4.1107233635813,17,0,20,-20,500,false
181,correlated,7,5.479451234412005,5.479451234412005,30,0,20,-20,500,false
181,correlated,15,2.326921515763872,2.326921515763872,10,0,20,-20,500,false
181,correlated,2,9.34454300600624,9.34454300600624,78,20,20,0,500,false
181,correlated,11,3.5588083615482464,3.5588083615482464,14,100,20,80,500,false
181,correlated,18,9.32793619122271,9.32793619122271,80,20,20,0,500,false
